  data : 1 6 18 21 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 6 19 20 24 32 , kpi : 6, rept: 1 2 4 5, cover: 22 30 32 33
  data : 1 6 19 21 24 32 , kpi : 6, rept: 1 2 4 4, cover: 22 30 32 33
  data : 1 6 20 23 24 32 , kpi : 5, rept: 1 2 4 5, cover: 22 30 32 33
  data : 1 6 20 24 27 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 20 24 29 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 20 24 31 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 21 23 24 32 , kpi : 5, rept: 1 2 4 4, cover: 22 30 32 33
  data : 1 6 21 24 27 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 6 21 24 28 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 6 21 24 29 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 6 21 24 30 32 , kpi : 5, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 7 8 24 27 30 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 8 24 28 30 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 10 23 24 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 12 17 24 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 12 18 24 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 12 19 24 28 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 7 12 19 24 29 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 7 12 19 24 30 , kpi : 6, rept: 1 2 4 5, cover: 22 30 32 33
  data : 1 7 12 19 24 31 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 7 12 22 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 12 22 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 13 17 24 30 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 7 13 18 24 30 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 7 13 19 24 28 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 13 19 24 30 , kpi : 5, rept: 1 2 3 5, cover: 22 30 32 33
  data : 1 7 13 19 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 13 23 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 13 23 24 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 7 14 17 24 30 , kpi : 5, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 7 14 18 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 7 14 19 24 28 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 7 14 19 24 29 , kpi : 5, rept: 1 2 4 5, cover: 23 30 32 33
